,text,tokenized_text,POS_text
472,"@cfcsummer @TC38534491 @Jimmyfrankie_ @Matt_Law_DT Drogba :- 254 appearances, 104 goals, 55 assists
Kane :- 254 appearances, 167 goals, 35 assists
I'd definitely have Drogba in big games but he's not better than Kane overall. Kane's prime saw him outscore every itw player over a year, including Messi, Ronaldo, Suarez, Lewy","['cfcsummer', 'TC38534491', 'Jimmyfrankie', 'MattLawDT', 'Drogba', '', '', '254', 'appearances', '', '104', 'goals', '', '55', 'assists', 'Kane', '', '', '254', 'appearances', '', '167', 'goals', '', '35', 'assists', 'Id', 'definitely', 'have', 'Drogba', 'in', 'big', 'games', 'but', 'hes', 'not', 'better', 'than', 'Kane', 'overall', '', 'Kanes', 'prime', 'saw', 'him', 'outscore', 'every', 'itw', 'player', 'over', 'a', 'year', '', 'including', 'Messi', '', 'Ronaldo', '', 'Suarez', '', 'Lewy']","[('cfcsummer', 'NN'), ('TC38534491', 'NNP'), ('Jimmyfrankie', 'NNP'), ('MattLawDT', 'NNP'), ('Drogba', 'NNP'), ('', 'NNP'), ('', 'VBD'), ('254', 'CD'), ('appearances', 'NNS'), ('', 'RB'), ('104', 'CD'), ('goals', 'NNS'), ('', 'VBD'), ('55', 'CD'), ('assists', 'NNS'), ('Kane', 'NNP'), ('', 'NNP'), ('', 'VBD'), ('254', 'CD'), ('appearances', 'NNS'), ('', 'RB'), ('167', 'CD'), ('goals', 'NNS'), ('', 'VBD'), ('35', 'CD'), ('assists', 'NNS'), ('Id', 'NNP'), ('definitely', 'RB'), ('have', 'VBP'), ('Drogba', 'NNP'), ('in', 'IN'), ('big', 'JJ'), ('games', 'NNS'), ('but', 'CC'), ('hes', 'NNS'), ('not', 'RB'), ('better', 'RBR'), ('than', 'IN'), ('Kane', 'NNP'), ('overall', 'JJ'), ('', 'NNP'), ('Kanes', 'NNP'), ('prime', 'JJ'), ('saw', 'VBD'), ('him', 'PRP'), ('outscore', 'RB'), ('every', 'DT'), ('itw', 'NN'), ('player', 'NN'), ('over', 'IN'), ('a', 'DT'), ('year', 'NN'), ('', 'NN'), ('including', 'VBG'), ('Messi', 'NNP'), ('', 'NNP'), ('Ronaldo', 'NNP'), ('', 'NNP'), ('Suarez', 'NNP'), ('', 'NNP'), ('Lewy', 'NNP')]"
473,@laruleMayor @ESPNFC Messi hasn't been the best in eight years but people act like he has been. Ages since he won a champions league and only wins with the most stacked teams ever.,"['laruleMayor', 'ESPNFC', 'Messi', 'hasnt', 'been', 'the', 'best', 'in', 'eight', 'years', 'but', 'people', 'act', 'like', 'he', 'has', 'been', '', 'Ages', 'since', 'he', 'won', 'a', 'champions', 'league', 'and', 'only', 'wins', 'with', 'the', 'most', 'stacked', 'teams', 'ever', '']","[('laruleMayor', 'NN'), ('ESPNFC', 'NNP'), ('Messi', 'NNP'), ('hasnt', 'VBD'), ('been', 'VBN'), ('the', 'DT'), ('best', 'JJS'), ('in', 'IN'), ('eight', 'CD'), ('years', 'NNS'), ('but', 'CC'), ('people', 'NNS'), ('act', 'VBP'), ('like', 'IN'), ('he', 'PRP'), ('has', 'VBZ'), ('been', 'VBN'), ('', 'VBN'), ('Ages', 'NNP'), ('since', 'IN'), ('he', 'PRP'), ('won', 'VBD'), ('a', 'DT'), ('champions', 'NNS'), ('league', 'NN'), ('and', 'CC'), ('only', 'RB'), ('wins', 'VBZ'), ('with', 'IN'), ('the', 'DT'), ('most', 'RBS'), ('stacked', 'JJ'), ('teams', 'NNS'), ('ever', 'RB'), ('', 'VBP')]"
474,@messi_ greatest player of all time ed Congrats bro!,"['messi', 'greatest', 'player', 'of', 'all', 'time', 'ed', 'Congrats', 'bro', '']","[('messi', 'NN'), ('greatest', 'JJS'), ('player', 'NN'), ('of', 'IN'), ('all', 'DT'), ('time', 'NN'), ('ed', 'JJ'), ('Congrats', 'NNP'), ('bro', 'NN'), ('', 'NN')]"
475,@breathMessi21 Answer: Messi &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; All players,"['breathMessi21', 'Answer', '', 'Messi', '', '', '', 'All', 'players']","[('breathMessi21', 'NN'), ('Answer', 'NNP'), ('', 'NNP'), ('Messi', 'NNP'), ('', 'NNP'), ('', 'NNP'), ('', 'NNP'), ('All', 'NNP'), ('players', 'NNS')]"
476,"If he had the conditions of top flight football today there wouldn't be a Messi vs CR Kelly debate because he'd be that far ahead. El Pibe de Oro was put on this planet to have a ball at his feet and bring joy, and that's exactly what he did. Undeniable greatest ever. https://t.co/fSyhqokGbo","['If', 'he', 'had', 'the', 'conditions', 'of', 'top', 'flight', 'football', 'today', 'there', 'wouldnt', 'be', 'a', 'Messi', 'vs', 'CR', 'Kelly', 'debate', 'because', 'hed', 'be', 'that', 'far', 'ahead', '', 'El', 'Pibe', 'de', 'Oro', 'was', 'put', 'on', 'this', 'planet', 'to', 'have', 'a', 'ball', 'at', 'his', 'feet', 'and', 'bring', 'joy', '', 'and', 'thats', 'exactly', 'what', 'he', 'did', '', 'Undeniable', 'greatest', 'ever', '', '']","[('If', 'IN'), ('he', 'PRP'), ('had', 'VBD'), ('the', 'DT'), ('conditions', 'NNS'), ('of', 'IN'), ('top', 'JJ'), ('flight', 'NN'), ('football', 'NN'), ('today', 'NN'), ('there', 'EX'), ('wouldnt', 'RB'), ('be', 'VB'), ('a', 'DT'), ('Messi', 'NNP'), ('vs', 'NN'), ('CR', 'NNP'), ('Kelly', 'NNP'), ('debate', 'NN'), ('because', 'IN'), ('hed', 'VBN'), ('be', 'VB'), ('that', 'IN'), ('far', 'RB'), ('ahead', 'RB'), ('', 'JJ'), ('El', 'NNP'), ('Pibe', 'NNP'), ('de', 'FW'), ('Oro', 'NNP'), ('was', 'VBD'), ('put', 'VBN'), ('on', 'IN'), ('this', 'DT'), ('planet', 'NN'), ('to', 'TO'), ('have', 'VB'), ('a', 'DT'), ('ball', 'NN'), ('at', 'IN'), ('his', 'PRP$'), ('feet', 'NNS'), ('and', 'CC'), ('bring', 'VB'), ('joy', 'NN'), ('', 'NNP'), ('and', 'CC'), ('thats', 'NNS'), ('exactly', 'RB'), ('what', 'WP'), ('he', 'PRP'), ('did', 'VBD'), ('', 'VB'), ('Undeniable', 'JJ'), ('greatest', 'JJS'), ('ever', 'RB'), ('', 'VBZ'), ('', 'NN')]"
477,Messi doesn’t deserve ballon d’or,"['Messi', 'doesn', '', 't', 'deserve', 'ballon', 'd', '', 'or']","[('Messi', 'NNP'), ('doesn', 'NN'), ('', 'NNP'), ('t', 'NN'), ('deserve', 'NN'), ('ballon', 'NN'), ('d', 'NN'), ('', 'CD'), ('or', 'CC')]"
478,@n7beel__ @_Kay_RM @destroooo_ @PSGhub @sport JUV sigh Ronaldo for UCL now you tell me what's excuse should be ? Messi is top scorer of la liga all time then why he is struggle is easily league,"['n7beel', 'KayRM', 'destroooo', 'PSGhub', 'sport', 'JUV', 'sigh', 'Ronaldo', 'for', 'UCL', 'now', 'you', 'tell', 'me', 'whats', 'excuse', 'should', 'be', '', 'Messi', 'is', 'top', 'scorer', 'of', 'la', 'liga', 'all', 'time', 'then', 'why', 'he', 'is', 'struggle', 'is', 'easily', 'league']","[('n7beel', 'NN'), ('KayRM', 'NNP'), ('destroooo', 'NN'), ('PSGhub', 'NNP'), ('sport', 'NN'), ('JUV', 'NNP'), ('sigh', 'JJ'), ('Ronaldo', 'NNP'), ('for', 'IN'), ('UCL', 'NNP'), ('now', 'RB'), ('you', 'PRP'), ('tell', 'VBP'), ('me', 'PRP'), ('whats', 'JJ'), ('excuse', 'NN'), ('should', 'MD'), ('be', 'VB'), ('', 'JJ'), ('Messi', 'NNP'), ('is', 'VBZ'), ('top', 'JJ'), ('scorer', 'NN'), ('of', 'IN'), ('la', 'NN'), ('liga', 'IN'), ('all', 'DT'), ('time', 'NN'), ('then', 'RB'), ('why', 'WRB'), ('he', 'PRP'), ('is', 'VBZ'), ('struggle', 'JJ'), ('is', 'VBZ'), ('easily', 'RB'), ('league', 'JJ')]"
479,@3PEPE__ @honest_messi @Afc_Ahmed14 @AkafiAli Common W + bodied that fraud,"['3PEPE', 'honestmessi', 'AfcAhmed14', 'AkafiAli', 'Common', 'W', '', 'bodied', 'that', 'fraud']","[('3PEPE', 'CD'), ('honestmessi', 'NN'), ('AfcAhmed14', 'NNP'), ('AkafiAli', 'NNP'), ('Common', 'NNP'), ('W', 'NNP'), ('', 'NNP'), ('bodied', 'VBD'), ('that', 'IN'), ('fraud', 'NN')]"
480,@messi_ greatest player of all time ed @FvBarcelona More goals than Pepsi,"['messi', 'greatest', 'player', 'of', 'all', 'time', 'ed', 'FvBarcelona', 'More', 'goals', 'than', 'Pepsi']","[('messi', 'NN'), ('greatest', 'JJS'), ('player', 'NN'), ('of', 'IN'), ('all', 'DT'), ('time', 'NN'), ('ed', 'VBZ'), ('FvBarcelona', 'NNP'), ('More', 'JJR'), ('goals', 'NNS'), ('than', 'IN'), ('Pepsi', 'NNS')]"
481,"@MinhQuanRM @messi_ greatest player of all time ed captain(2nd) and starter in best club of the decade(iffhs) 

certain someone ghosting in paris cant relate","['MinhQuanRM', 'messi', 'greatest', 'player', 'of', 'all', 'time', 'ed', 'captain', '', '2nd', '', 'and', 'starter', 'in', 'best', 'club', 'of', 'the', 'decade', '', 'iffhs', '', 'certain', 'someone', 'ghosting', 'in', 'paris', 'cant', 'relate']","[('MinhQuanRM', 'NNP'), ('messi', 'NN'), ('greatest', 'JJS'), ('player', 'NN'), ('of', 'IN'), ('all', 'DT'), ('time', 'NN'), ('ed', 'VBZ'), ('captain', 'VBP'), ('', 'JJ'), ('2nd', 'CD'), ('', 'NN'), ('and', 'CC'), ('starter', 'NN'), ('in', 'IN'), ('best', 'JJS'), ('club', 'NN'), ('of', 'IN'), ('the', 'DT'), ('decade', 'NN'), ('', 'NNP'), ('iffhs', 'NN'), ('', 'NNP'), ('certain', 'JJ'), ('someone', 'NN'), ('ghosting', 'VBG'), ('in', 'IN'), ('paris', 'NN'), ('cant', 'NN'), ('relate', 'NN')]"
