,text,tokenized_text
568,"@TH14Prop @Hamza__KB9 @MadridXtra @diarioas So Henry is better because Benzema shared the decade with the freaks - Cristiano and Messi?

Looks like your logic comes from your ass. Why not eat your own logic instead of dropping here on Twitter?","['TH14Prop', 'HamzaKB9', 'MadridXtra', 'diarioas', 'So', 'Henry', 'is', 'better', 'because', 'Benzema', 'shared', 'the', 'decade', 'with', 'the', 'freaks', '', 'Cristiano', 'and', 'Messi', '', 'Looks', 'like', 'your', 'logic', 'comes', 'from', 'your', 'ass', '', 'Why', 'not', 'eat', 'your', 'own', 'logic', 'instead', 'of', 'dropping', 'here', 'on', 'Twitter', '']"
569,"It is very sad to see the Camp Nou so empty. But, honestly, no matter how bad the team is, I think what is most noticeable is that Messi is no longer there. If the Argentine continued, even if the team was bad, there would be more people. Messi FC has left the Camp Nou.

#Barca https://t.co/Yvgre5uB7r","['It', 'is', 'very', 'sad', 'to', 'see', 'the', 'Camp', 'Nou', 'so', 'empty', '', 'But', '', 'honestly', '', 'no', 'matter', 'how', 'bad', 'the', 'team', 'is', '', 'I', 'think', 'what', 'is', 'most', 'noticeable', 'is', 'that', 'Messi', 'is', 'no', 'longer', 'there', '', 'If', 'the', 'Argentine', 'continued', '', 'even', 'if', 'the', 'team', 'was', 'bad', '', 'there', 'would', 'be', 'more', 'people', '', 'Messi', 'FC', 'has', 'left', 'the', 'Camp', 'Nou', '', 'Barca', '']"
570,@MohitRohitian Unfollowing for Slandering Messi,"['MohitRohitian', 'Unfollowing', 'for', 'Slandering', 'Messi']"
571,"@KattarReborn pique is a club legend and knows everything inside the club, he knows the real reason why messi left","['KattarReborn', 'pique', 'is', 'a', 'club', 'legend', 'and', 'knows', 'everything', 'inside', 'the', 'club', '', 'he', 'knows', 'the', 'real', 'reason', 'why', 'messi', 'left']"
572,@sid_lambert @DanThomasESPN almost as good as Messi against USA #CopaAmerica,"['sidlambert', 'DanThomasESPN', 'almost', 'as', 'good', 'as', 'Messi', 'against', 'USA', 'CopaAmerica']"
573,@HeavyD247 @ESPNFC Messi could never make it in the EPL. Only a true  greatest player of all time  could.,"['HeavyD247', 'ESPNFC', 'Messi', 'could', 'never', 'make', 'it', 'in', 'the', 'EPL', '', 'Only', 'a', 'true', 'greatest', 'player', 'of', 'all', 'time', 'could', '']"
574,@Camtweets93 @fornalszn @dyllanburrows1 @VintageLanzini @AinsleyEra @GreaseSZNN @TacticalReds_ @FootballlForAll @TheAthletic It ain’t messi vs ronaldo smh,"['Camtweets93', 'fornalszn', 'dyllanburrows1', 'VintageLanzini', 'AinsleyEra', 'GreaseSZNN', 'TacticalReds', 'FootballlForAll', 'TheAthletic', 'It', 'ain', '', 't', 'messi', 'vs', 'ronaldo', 'smh']"
575,@goal @FCBarcelona @TeamMessi Tagging team Messi 😭 PR spin op,"['goal', 'FCBarcelona', 'TeamMessi', 'Tagging', 'team', 'Messi', '', 'PR', 'spin', 'op']"
576,"@liverpoolgod9 @XDVXYC10 @expert_messi @CrewsMat10 Aren't you tired of the lies ffs

Rio Ferdinand and Gary Neville even said at Penchester United they had to make adjust for ronaldo to score more goals","['liverpoolgod9', 'XDVXYC10', 'expertmessi', 'CrewsMat10', 'Arent', 'you', 'tired', 'of', 'the', 'lies', 'ffs', 'Rio', 'Ferdinand', 'and', 'Gary', 'Neville', 'even', 'said', 'at', 'Penchester', 'United', 'they', 'had', 'to', 'make', 'adjust', 'for', 'ronaldo', 'to', 'score', 'more', 'goals']"
577,"@Sharym7iiiiii @edsonsa79718631 @easyWsOnly @Youssef51307395 @mateopasagali @FCBDynamite_ @TotalMaestro @KieranCFC88 @MessiIizer Naaaaaa
It's @manutd and #Messi forever","['Sharym7iiiiii', 'edsonsa79718631', 'easyWsOnly', 'Youssef51307395', 'mateopasagali', 'FCBDynamite', 'TotalMaestro', 'KieranCFC88', 'MessiIizer', 'Naaaaaa', 'Its', 'manutd', 'and', 'Messi', 'forever']"
578,I can say I would have watched Messi and Ronaldo live in my life time! :D,"['I', 'can', 'say', 'I', 'would', 'have', 'watched', 'Messi', 'and', 'Ronaldo', 'live', 'in', 'my', 'life', 'time', '', 'D']"
579,"🗣️ Lionel Messi: “Barcelona it is the club that I love.”  
Messi Today, Messi Yesterday, Messi Forever❤️ https://t.co/RCCz7XMofd","['', '️', 'Lionel', 'Messi', '', '', 'Barcelona', 'it', 'is', 'the', 'club', 'that', 'I', 'love', '', '', 'Messi', 'Today', '', 'Messi', 'Yesterday', '', 'Messi', 'Forever', '', '️', '']"
580,"@SeyaFCB Let's be honest, laporta has lied a lot. You can't deny that. And rest of the things you said are all wrong, I agree. There are many Fati avi accounts that slander messi too. You slander messi only to win pointless fan wars on twitter?","['SeyaFCB', 'Lets', 'be', 'honest', '', 'laporta', 'has', 'lied', 'a', 'lot', '', 'You', 'cant', 'deny', 'that', '', 'And', 'rest', 'of', 'the', 'things', 'you', 'said', 'are', 'all', 'wrong', '', 'I', 'agree', '', 'There', 'are', 'many', 'Fati', 'avi', 'accounts', 'that', 'slander', 'messi', 'too', '', 'You', 'slander', 'messi', 'only', 'to', 'win', 'pointless', 'fan', 'wars', 'on', 'twitter', '']"
581,Can't believe Messi got robbed 3 times. This would have been his 10th https://t.co/rJ8AmjU5uN,"['Cant', 'believe', 'Messi', 'got', 'robbed', '3', 'times', '', 'This', 'would', 'have', 'been', 'his', '10th', '']"
582,"@TotalMessi10i @SelecaoTalk I always appreciate this brazilian man even though Messi is his country's biggest rival. 

Always rated his good takes. 

Big win then","['TotalMessi10i', 'SelecaoTalk', 'I', 'always', 'appreciate', 'this', 'brazilian', 'man', 'even', 'though', 'Messi', 'is', 'his', 'countrys', 'biggest', 'rival', '', 'Always', 'rated', 'his', 'good', 'takes', '', 'Big', 'win', 'then']"
583,@UtdLew @Kelvin_Utd Tuchel did as well bar messi,"['UtdLew', 'KelvinUtd', 'Tuchel', 'did', 'as', 'well', 'bar', 'messi']"
584,@Frenkenbauer21 Only messi and Pique knows,"['Frenkenbauer21', 'Only', 'messi', 'and', 'Pique', 'knows']"
585,@s__avvy @KieranCFC88 @edsonsa79718631 @easyWsOnly @Youssef51307395 @mateopasagali @FCBDynamite_ @TotalMaestro @MessiIizer So a barca fan that loves ronaldo and slanders Messi is a proper barca fan then,"['savvy', 'KieranCFC88', 'edsonsa79718631', 'easyWsOnly', 'Youssef51307395', 'mateopasagali', 'FCBDynamite', 'TotalMaestro', 'MessiIizer', 'So', 'a', 'barca', 'fan', 'that', 'loves', 'ronaldo', 'and', 'slanders', 'Messi', 'is', 'a', 'proper', 'barca', 'fan', 'then']"
586,"Messi should have just gone straight to MLS.
California Uber Eats.","['Messi', 'should', 'have', 'just', 'gone', 'straight', 'to', 'MLS', '', 'California', 'Uber', 'Eats', '']"
587,"5 Years ago today, Lionel Messi became the all-time Champions League group stage top scorer.  greatest player of all time 

Always leaving people on the ground… https://t.co/0G1gSMM1lL","['5', 'Years', 'ago', 'today', '', 'Lionel', 'Messi', 'became', 'the', 'alltime', 'Champions', 'League', 'group', 'stage', 'top', 'scorer', '', 'greatest', 'player', 'of', 'all', 'time', 'Always', 'leaving', 'people', 'on', 'the', 'ground', '', '']"
588,"@Sharym7iiiiii @KieranCFC88 @edsonsa79718631 @easyWsOnly @Youssef51307395 @mateopasagali @FCBDynamite_ @TotalMaestro @MessiIizer Well keep crying
While I continue to support Messi  greatest player of all time  https://t.co/YCmrADHz3U","['Sharym7iiiiii', 'KieranCFC88', 'edsonsa79718631', 'easyWsOnly', 'Youssef51307395', 'mateopasagali', 'FCBDynamite', 'TotalMaestro', 'MessiIizer', 'Well', 'keep', 'crying', 'While', 'I', 'continue', 'to', 'support', 'Messi', 'greatest', 'player', 'of', 'all', 'time', '']"
589,@FrenkieSZN12 @breathMessi21 not just him but messi fc in general. they are so cancerous,"['FrenkieSZN12', 'breathMessi21', 'not', 'just', 'him', 'but', 'messi', 'fc', 'in', 'general', '', 'they', 'are', 'so', 'cancerous']"
590,@_UTD_LUKE @Kelvin_Utd So did tuchel bar messi but still a crazy team,"['UTDLUKE', 'KelvinUtd', 'So', 'did', 'tuchel', 'bar', 'messi', 'but', 'still', 'a', 'crazy', 'team']"
591,@frenkie_sznn @messi_ greatest player of all time ed No one can arrest me. Siuuu,"['frenkiesznn', 'messi', 'greatest', 'player', 'of', 'all', 'time', 'ed', 'No', 'one', 'can', 'arrest', 'me', '', 'Siuuu']"
592,@CrewsMat10 @ArnoId66 Yes that proves Messi has insane PR and thankfully Ballon d'Or votes aren't based on bets,"['CrewsMat10', 'ArnoId66', 'Yes', 'that', 'proves', 'Messi', 'has', 'insane', 'PR', 'and', 'thankfully', 'Ballon', 'dOr', 'votes', 'arent', 'based', 'on', 'bets']"
593,SkySports: Lionel Messi intends to return to Barcelona at the end of his time at Paris Saint-Germain and wants to help the La Liga club in a technical director role.,"['SkySports', '', 'Lionel', 'Messi', 'intends', 'to', 'return', 'to', 'Barcelona', 'at', 'the', 'end', 'of', 'his', 'time', 'at', 'Paris', 'SaintGermain', 'and', 'wants', 'to', 'help', 'the', 'La', 'Liga', 'club', 'in', 'a', 'technical', 'director', 'role', '']"
594,@MikeLUHG_18_0 Messi is the most naturally gifted player ever,"['MikeLUHG180', 'Messi', 'is', 'the', 'most', 'naturally', 'gifted', 'player', 'ever']"
595,"Messi confirms move back to Barcelona after Paris as he ""misses everything""
https://t.co/2ROWih24I1 https://t.co/3kkNlqsGlo","['Messi', 'confirms', 'move', 'back', 'to', 'Barcelona', 'after', 'Paris', 'as', 'he', '', 'misses', 'everything', '', '', '']"
596,Lionel Messi intends to return to Barcelona at the end of his time at Paris Saint-Germain and wants to help the La Liga club in a technical director role.,"['Lionel', 'Messi', 'intends', 'to', 'return', 'to', 'Barcelona', 'at', 'the', 'end', 'of', 'his', 'time', 'at', 'Paris', 'SaintGermain', 'and', 'wants', 'to', 'help', 'the', 'La', 'Liga', 'club', 'in', 'a', 'technical', 'director', 'role', '']"
597,@KieranCFC88 @s__avvy @edsonsa79718631 @easyWsOnly @Youssef51307395 @mateopasagali @FCBDynamite_ @TotalMaestro @MessiIizer U woukdny day the same if it was a barca fan praising ronaldo and slandering Messi...,"['KieranCFC88', 'savvy', 'edsonsa79718631', 'easyWsOnly', 'Youssef51307395', 'mateopasagali', 'FCBDynamite', 'TotalMaestro', 'MessiIizer', 'U', 'woukdny', 'day', 'the', 'same', 'if', 'it', 'was', 'a', 'barca', 'fan', 'praising', 'ronaldo', 'and', 'slandering', 'Messi', '']"
598,@adamya3010 Ppl called Messi-Laporta beef fake too I think it's true,"['adamya3010', 'Ppl', 'called', 'MessiLaporta', 'beef', 'fake', 'too', 'I', 'think', 'its', 'true']"
599,"@Kelvin_Utd Unpopular opinion but I agree bro

Mf is struggling with Messi, Neymar and Mbappe","['KelvinUtd', 'Unpopular', 'opinion', 'but', 'I', 'agree', 'bro', 'Mf', 'is', 'struggling', 'with', 'Messi', '', 'Neymar', 'and', 'Mbappe']"
600,@messi_ greatest player of all time ed Yeah all finished,"['messi', 'greatest', 'player', 'of', 'all', 'time', 'ed', 'Yeah', 'all', 'finished']"
601,@messi_ greatest player of all time ed Victor Valdes wasn't even a contender on the Ballon d'or dream team. Whereas Zidane was,"['messi', 'greatest', 'player', 'of', 'all', 'time', 'ed', 'Victor', 'Valdes', 'wasnt', 'even', 'a', 'contender', 'on', 'the', 'Ballon', 'dor', 'dream', 'team', '', 'Whereas', 'Zidane', 'was']"
602,@Kelvin_Utd Facts tbf poch has mbappe neymar and messi and is still failing,"['KelvinUtd', 'Facts', 'tbf', 'poch', 'has', 'mbappe', 'neymar', 'and', 'messi', 'and', 'is', 'still', 'failing']"
603,"@Thukten143 @SelecaoTalk I think he means that based on actual performances, Neymar’s only behind Messi.","['Thukten143', 'SelecaoTalk', 'I', 'think', 'he', 'means', 'that', 'based', 'on', 'actual', 'performances', '', 'Neymar', '', 's', 'only', 'behind', 'Messi', '']"
604,@LbKKjlOPEWZOrmE @BarcaUniversal @tjuanmarti are you stupid? MATS had a disagreement with messi over the intensity of training sessions back in 2019 when MATS wanted more intense training sessions whilst Messi was in favor of the lighter training sessions valverde was holding,"['LbKKjlOPEWZOrmE', 'BarcaUniversal', 'tjuanmarti', 'are', 'you', 'stupid', '', 'MATS', 'had', 'a', 'disagreement', 'with', 'messi', 'over', 'the', 'intensity', 'of', 'training', 'sessions', 'back', 'in', '2019', 'when', 'MATS', 'wanted', 'more', 'intense', 'training', 'sessions', 'whilst', 'Messi', 'was', 'in', 'favor', 'of', 'the', 'lighter', 'training', 'sessions', 'valverde', 'was', 'holding']"
605,"Oyo APC congress conducted with committee’s consent, my approval – Gambo Lawan - https://t.co/xlMu4QNVzJ #Politics #APC #gambolawan #Oyo#BBnaija #Messi #Wizkid #Davido","['Oyo', 'APC', 'congress', 'conducted', 'with', 'committee', '', 's', 'consent', '', 'my', 'approval', '', 'Gambo', 'Lawan', '', '', 'Politics', 'APC', 'gambolawan', 'Oyo', 'BBnaija', 'Messi', 'Wizkid', 'Davido']"
606,"🗣Leo Messi: “The truth is, I don't think about it. The biggest prize was what I achieved with the national team. We fought so hard for that, that was the ultimate goal. A 7th Ballon d'Or would be nice, but if I don’t win, it wouldn’t bother me. There are lots of great players."" https://t.co/WSJRYqsjwb","['', 'Leo', 'Messi', '', '', 'The', 'truth', 'is', '', 'I', 'dont', 'think', 'about', 'it', '', 'The', 'biggest', 'prize', 'was', 'what', 'I', 'achieved', 'with', 'the', 'national', 'team', '', 'We', 'fought', 'so', 'hard', 'for', 'that', '', 'that', 'was', 'the', 'ultimate', 'goal', '', 'A', '7th', 'Ballon', 'dOr', 'would', 'be', 'nice', '', 'but', 'if', 'I', 'don', '', 't', 'win', '', 'it', 'wouldn', '', 't', 'bother', 'me', '', 'There', 'are', 'lots', 'of', 'great', 'players', '', '', '']"
607,"@ranny_ft @joshola123544 @TrollFootball Hey you tweeted everywhere, calm down you can't change the fact that 80% football fans believe - Messi is the  greatest player of all time   greatest player of all time .","['rannyft', 'joshola123544', 'TrollFootball', 'Hey', 'you', 'tweeted', 'everywhere', '', 'calm', 'down', 'you', 'cant', 'change', 'the', 'fact', 'that', '80', '', 'football', 'fans', 'believe', '', 'Messi', 'is', 'the', 'greatest', 'player', 'of', 'all', 'time', 'greatest', 'player', 'of', 'all', 'time', '']"
