,text,tokenized_text,POS_text,lemmatized_text
980,@n7beel__ @_Kay_RM @destroooo_ @PSGhub @sport Mf you literally repeat same words again and again is you say la liga is easy because Messi is top scorer of that league with broken Barcelona and who is that Mariano Diaz,"['n7beel', 'KayRM', 'destroooo', 'PSGhub', 'sport', 'Mf', 'you', 'literally', 'repeat', 'same', 'words', 'again', 'and', 'again', 'is', 'you', 'say', 'la', 'liga', 'is', 'easy', 'because', 'Messi', 'is', 'top', 'scorer', 'of', 'that', 'league', 'with', 'broken', 'Barcelona', 'and', 'who', 'is', 'that', 'Mariano', 'Diaz']","[('n7beel', 'n'), ('KayRM', 'n'), ('destroooo', 'n'), ('PSGhub', 'n'), ('sport', 'n'), ('Mf', 'n'), ('literally', 'r'), ('repeat', 'v'), ('same', 'a'), ('words', 'n'), ('again', 'r'), ('again', 'r'), ('is', 'v'), ('say', 'v'), ('la', 'a'), ('liga', 'n'), ('is', 'v'), ('easy', 'a'), ('Messi', 'n'), ('is', 'v'), ('top', 'a'), ('scorer', 'n'), ('league', 'n'), ('broken', 'a'), ('Barcelona', 'n'), ('is', 'v'), ('Mariano', 'n'), ('Diaz', 'n')]","['n7beel', 'KayRM', 'destroooo', 'PSGhub', 'sport', 'Mf', 'literally', 'repeat', 'same', 'word', 'again', 'again', 'be', 'say', 'la', 'liga', 'be', 'easy', 'Messi', 'be', 'top', 'scorer', 'league', 'broken', 'Barcelona', 'be', 'Mariano', 'Diaz']"
981,"@Iightning_angel @cfchziyech @FabrizioRomano @markgoldbridge The Messi honeymoon is over. Back to reality with a bang. An ageing player on huge wages that demands a start but to get the best out of you have to set up in a certain way. Yet you often function worse as a team when he’s on the pitch. 

PSG only have themselves to blame.","['Iightningangel', 'cfchziyech', 'FabrizioRomano', 'markgoldbridge', 'The', 'Messi', 'honeymoon', 'is', 'over', '', 'Back', 'to', 'reality', 'with', 'a', 'bang', '', 'An', 'ageing', 'player', 'on', 'huge', 'wages', 'that', 'demands', 'a', 'start', 'but', 'to', 'get', 'the', 'best', 'out', 'of', 'you', 'have', 'to', 'set', 'up', 'in', 'a', 'certain', 'way', '', 'Yet', 'you', 'often', 'function', 'worse', 'as', 'a', 'team', 'when', 'he', '', 's', 'on', 'the', 'pitch', '', 'PSG', 'only', 'have', 'themselves', 'to', 'blame', '']","[('Iightningangel', 'n'), ('cfchziyech', 'n'), ('FabrizioRomano', 'n'), ('markgoldbridge', 'v'), ('Messi', 'n'), ('honeymoon', 'n'), ('is', 'v'), ('', 'n'), ('Back', 'n'), ('reality', 'n'), ('bang', 'n'), ('', 'n'), ('ageing', 'v'), ('player', 'n'), ('huge', 'a'), ('wages', 'n'), ('demands', 'v'), ('start', 'n'), ('get', 'v'), ('best', 'a'), ('have', 'v'), ('set', 'v'), ('up', 'r'), ('certain', 'a'), ('way', 'n'), ('', 'n'), ('Yet', 'n'), ('often', 'r'), ('function', 'v'), ('worse', 'a'), ('team', 'n'), ('', 'v'), ('s', 'n'), ('pitch', 'n'), ('', 'n'), ('PSG', 'n'), ('only', 'r'), ('have', 'v'), ('blame', 'v'), ('', 'a')]","['Iightningangel', 'cfchziyech', 'FabrizioRomano', 'markgoldbridge', 'Messi', 'honeymoon', 'be', 'Back', 'reality', 'bang', 'age', 'player', 'huge', 'wage', 'demand', 'start', 'get', 'best', 'have', 'set', 'up', 'certain', 'way', 'Yet', 'often', 'function', 'bad', 'team', 's', 'pitch', 'PSG', 'only', 'have', 'blame']"
982,Messi settles his accounts with Laporta https://t.co/kY0wqAvYej,"['Messi', 'settles', 'his', 'accounts', 'with', 'Laporta', '']","[('Messi', 'n'), ('settles', 'v'), ('accounts', 'n'), ('Laporta', 'n'), ('', 'n')]","['Messi', 'settle', 'account', 'Laporta']"
983,Cristiano Ronaldo talks about Messi.  https://t.co/GXLovSsLQI,"['Cristiano', 'Ronaldo', 'talks', 'about', 'Messi', '', '']","[('Cristiano', 'n'), ('Ronaldo', 'n'), ('talks', 'n'), ('Messi', 'n'), ('', 'n'), ('', 'n')]","['Cristiano', 'Ronaldo', 'talk', 'Messi']"
984,"@UgwunnaEjikem Claiming that Messi is the  greatest player of all time .
Na to dey gather your ransom fee be that..","['UgwunnaEjikem', 'Claiming', 'that', 'Messi', 'is', 'the', 'greatest', 'player', 'of', 'all', 'time', '', 'Na', 'to', 'dey', 'gather', 'your', 'ransom', 'fee', 'be', 'that', '']","[('UgwunnaEjikem', 'n'), ('Claiming', 'n'), ('Messi', 'n'), ('is', 'v'), ('greatest', 'a'), ('player', 'n'), ('time', 'n'), ('', 'n'), ('Na', 'n'), ('dey', 'v'), ('gather', 'r'), ('ransom', 'n'), ('fee', 'n'), ('be', 'v'), ('', 'n')]","['UgwunnaEjikem', 'Claiming', 'Messi', 'be', 'great', 'player', 'time', 'Na', 'dey', 'gather', 'ransom', 'fee', 'be']"
985,"@Ansu_Time @FCBDeva @Carvenism Even you lost 8-2 with ""Messi"" and what people ca the best striker of the decade ""Suarez"". You even need one own goal lol.","['AnsuTime', 'FCBDeva', 'Carvenism', 'Even', 'you', 'lost', '82', 'with', '', 'Messi', '', 'and', 'what', 'people', 'ca', 'the', 'best', 'striker', 'of', 'the', 'decade', '', 'Suarez', '', '', 'You', 'even', 'need', 'one', 'own', 'goal', 'lol', '']","[('AnsuTime', 'n'), ('FCBDeva', 'n'), ('Carvenism', 'n'), ('Even', 'n'), ('lost', 'v'), ('', 'a'), ('Messi', 'n'), ('', 'n'), ('people', 'n'), ('best', 'a'), ('striker', 'n'), ('decade', 'n'), ('', 'n'), ('Suarez', 'n'), ('', 'n'), ('', 'n'), ('even', 'r'), ('need', 'v'), ('own', 'a'), ('goal', 'n'), ('lol', 'n'), ('', 'n')]","['AnsuTime', 'FCBDeva', 'Carvenism', 'Even', 'lose', 'Messi', 'people', 'best', 'striker', 'decade', 'Suarez', 'even', 'need', 'own', 'goal', 'lol']"
986,"Messi still speaks to Aguero, Alba and Busquets after Barca exit https://t.co/i48plcPGEY","['Messi', 'still', 'speaks', 'to', 'Aguero', '', 'Alba', 'and', 'Busquets', 'after', 'Barca', 'exit', '']","[('Messi', 'n'), ('still', 'r'), ('speaks', 'v'), ('Aguero', 'n'), ('', 'n'), ('Alba', 'n'), ('Busquets', 'n'), ('Barca', 'n'), ('exit', 'n'), ('', 'n')]","['Messi', 'still', 'speak', 'Aguero', 'Alba', 'Busquets', 'Barca', 'exit']"
987,@Zak20B @Madridfooty @FabrizioRomano @sport Ronaldo had a problem with Perez and already achieved everything with them. Madrid and their fans didn't reject him. Messi got dumped by Barca.,"['Zak20B', 'Madridfooty', 'FabrizioRomano', 'sport', 'Ronaldo', 'had', 'a', 'problem', 'with', 'Perez', 'and', 'already', 'achieved', 'everything', 'with', 'them', '', 'Madrid', 'and', 'their', 'fans', 'didnt', 'reject', 'him', '', 'Messi', 'got', 'dumped', 'by', 'Barca', '']","[('Zak20B', 'n'), ('Madridfooty', 'n'), ('FabrizioRomano', 'n'), ('sport', 'n'), ('Ronaldo', 'n'), ('had', 'v'), ('problem', 'n'), ('Perez', 'n'), ('already', 'r'), ('achieved', 'v'), ('everything', 'n'), ('', 'v'), ('Madrid', 'n'), ('fans', 'n'), ('didnt', 'v'), ('reject', 'v'), ('', 'a'), ('Messi', 'n'), ('got', 'v'), ('dumped', 'v'), ('Barca', 'n'), ('', 'n')]","['Zak20B', 'Madridfooty', 'FabrizioRomano', 'sport', 'Ronaldo', 'have', 'problem', 'Perez', 'already', 'achieve', 'everything', 'Madrid', 'fan', 'didnt', 'reject', 'Messi', 'get', 'dump', 'Barca']"
988,@shane70707 @starsalki @PSGhub @sport as well as if u look messi when he played for ARG this year .. he was doing well with the statistics coz ARG know how to use  ... just check when messi scored a hatrick they played 442 wid leo and martinez upfront ... they know what suits messi best ... thats not possible in PSG,"['shane70707', 'starsalki', 'PSGhub', 'sport', 'as', 'well', 'as', 'if', 'u', 'look', 'messi', 'when', 'he', 'played', 'for', 'ARG', 'this', 'year', '', 'he', 'was', 'doing', 'well', 'with', 'the', 'statistics', 'coz', 'ARG', 'know', 'how', 'to', 'use', '', 'just', 'check', 'when', 'messi', 'scored', 'a', 'hatrick', 'they', 'played', '442', 'wid', 'leo', 'and', 'martinez', 'upfront', '', 'they', 'know', 'what', 'suits', 'messi', 'best', '', 'thats', 'not', 'possible', 'in', 'PSG']","[('shane70707', 'n'), ('starsalki', 'n'), ('PSGhub', 'n'), ('sport', 'n'), ('as', 'r'), ('well', 'r'), ('u', 'a'), ('look', 'v'), ('messi', 'n'), ('played', 'v'), ('ARG', 'n'), ('year', 'n'), ('', 'n'), ('was', 'v'), ('doing', 'v'), ('well', 'r'), ('statistics', 'n'), ('coz', 'v'), ('ARG', 'n'), ('know', 'v'), ('use', 'v'), ('', 'a'), ('just', 'r'), ('check', 'n'), ('messi', 'n'), ('scored', 'v'), ('hatrick', 'n'), ('played', 'v'), ('wid', 'a'), ('leo', 'n'), ('martinez', 'n'), ('upfront', 'a'), ('', 'n'), ('know', 'v'), ('suits', 'n'), ('messi', 'v'), ('best', 'a'), ('', 'n'), ('thats', 'n'), ('not', 'r'), ('possible', 'a'), ('PSG', 'n')]","['shane70707', 'starsalki', 'PSGhub', 'sport', 'as', 'well', 'u', 'look', 'messi', 'play', 'ARG', 'year', 'be', 'do', 'well', 'statistic', 'coz', 'ARG', 'know', 'use', 'just', 'check', 'messi', 'score', 'hatrick', 'play', 'wid', 'leo', 'martinez', 'upfront', 'know', 'suit', 'messi', 'best', 'thats', 'not', 'possible', 'PSG']"
989,@ greatest player of all time ED_CR7 @Leo_Stats You can prefer 2017 but don’t get mad at me for saying I think 2008 is better. And come at me saying “your a Messi fan trying to undermine the performance”. Plenty other Ronaldo fans agree with me.,"['', 'greatest', 'player', 'of', 'all', 'time', 'EDCR', '7', 'LeoStats', 'You', 'can', 'prefer', '2017', 'but', 'don', '', 't', 'get', 'mad', 'at', 'me', 'for', 'saying', 'I', 'think', '2008', 'is', 'better', '', 'And', 'come', 'at', 'me', 'saying', '', 'your', 'a', 'Messi', 'fan', 'trying', 'to', 'undermine', 'the', 'performance', '', '', 'Plenty', 'other', 'Ronaldo', 'fans', 'agree', 'with', 'me', '']","[('', 'n'), ('greatest', 'a'), ('player', 'n'), ('time', 'n'), ('EDCR', 'n'), ('LeoStats', 'n'), ('prefer', 'v'), ('don', 'a'), ('', 'n'), ('t', 'n'), ('get', 'n'), ('mad', 'n'), ('saying', 'v'), ('think', 'v'), ('is', 'v'), ('better', 'r'), ('', 'n'), ('come', 'n'), ('saying', 'v'), ('', 'v'), ('Messi', 'n'), ('fan', 'n'), ('trying', 'v'), ('undermine', 'v'), ('performance', 'n'), ('', 'n'), ('', 'n'), ('Plenty', 'n'), ('other', 'a'), ('Ronaldo', 'n'), ('fans', 'n'), ('agree', 'v'), ('', 'v')]","['great', 'player', 'time', 'EDCR', 'LeoStats', 'prefer', 'don', 't', 'get', 'mad', 'say', 'think', 'be', 'well', 'come', 'say', 'Messi', 'fan', 'try', 'undermine', 'performance', 'Plenty', 'other', 'Ronaldo', 'fan', 'agree']"
